콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0400CZS010,2800.00,S,0302,0303,3,0400,100.00,16,청북IC-서평택JC,0,101
0400CZS020,5200.00,S,0433,0302,3,0400,100.00,15,평택JC-청북IC,0,101
0400CZS030,5700.00,S,0679,0433,3,0400,100.00,14,평택고덕IC-평택JC,0,101
0400CZS035,7170.00,S,0301,0679,3,0400,100.00,13,송탄IC-평택고덕IC,0,101
0400CZS040,2830.00,S,0300,0301,4,0400,100.00,12,안성JC-송탄IC,0,101
0400CZS050,1980.00,S,0261,0300,2,0400,100.00,11,서안성IC-안성JC,0,101
0400CZS060,10210.00,S,0353,0261,2,0400,100.00,10,남안성IC-서안성IC,0,101
0400CZS070,19510.00,S,0466,0353,2,0400,100.00,9,북진천IC-남안성IC,0,101
0400CZS080,2500.00,S,0456,0466,2,0400,100.00,8,대소JC-북진천IC,0,101
0400CZS090,7200.00,S,0574,0456,2,0400,100.00,7,금왕꽃동네IC-대소JC,0,101
0400CZS095,7310.00,S,0571,0574,2,0400,100.00,6,음성IC-금왕꽃동네IC,0,101
0400CZS100,5400.00,S,0572,0571,2,0400,100.00,5,서충주IC-음성IC,0,101
0400CZS110,7680.00,S,0573,0572,2,0400,100.00,4,충주JC-서충주IC,0,101
0400CZS120,5370.00,S,0575,0573,2,0400,100.00,3,노은JC-충주JC,0,101
0400CZS130,12330.00,S,0576,0575,2,0400,100.00,2,동충주IC-노은JC,0,101
0400CZS140,23720.00,S,0578,0576,2,0400,100.00,1,제천JC-동충주IC,0,101
0450CZE010,2700.00,E,0144,0502,2,0450,100.00,1,내서JC-칠원TG,0,101
0450CZE015,790.00,E,0502,0148,2,0450,100.00,2,칠원TG-칠원JC,0,101
0450CZE020,5180.00,E,0148,0153,2,0450,100.00,3,칠원JC-칠서IC,0,101
0450CZE030,8840.00,E,0153,0156,2,0450,100.00,4,칠서IC-남지IC,0,101
0450CZE040,6890.00,E,0156,0158,2,0450,100.00,5,남지IC-영산IC,0,101
0450CZE050,11570.00,E,0158,0125,2,0450,100.00,6,영산IC-창녕IC,0,101
0450CZE060,16410.00,E,0125,0354,2,0450,100.00,7,창녕IC-현풍JC,0,101
0450CZE070,10700.00,E,0354,0357,2,0450,100.00,8,현풍JC-고령JC,0,101
0450CZE080,10620.00,E,0357,0356,2,0450,100.00,9,고령JC-남성주IC,0,101
0450CZE090,11910.00,E,0356,0378,2,0450,100.00,10,남성주IC-성주IC,0,101
0450CZE100,16710.00,E,0378,0355,2,0450,100.00,11,성주IC-남김천IC,0,101
0450CZE110,12150.00,E,0355,0080,2,0450,100.00,12,남김천IC-김천JC,0,101
0450CZE120,8920.00,E,0080,0083,2,0450,100.00,13,김천JC-선산IC,0,101
0450CZE130,15810.00,E,0083,0369,2,0450,100.00,14,선산IC-낙동JC,0,101
0450CZE140,7200.00,E,0369,0079,2,0450,110.00,15,낙동JC-상주IC,0,101
0450CZE150,13040.00,E,0079,0040,2,0450,110.00,16,상주IC-북상주IC,0,101
0450CZE160,7460.00,E,0040,0039,2,0450,110.00,17,북상주IC-점촌함창IC,0,101
0450CZE170,13980.00,E,0039,0038,2,0450,110.00,18,점촌함창IC-문경새재IC,0,101
0450CZE180,14630.00,E,0038,0069,2,0450,110.00,19,문경새재IC-연풍IC,0,101
0450CZE190,14190.00,E,0069,0070,2,0450,110.00,20,연풍IC-괴산IC,0,101
0450CZE200,14910.00,E,0070,0072,2,0450,110.00,21,괴산IC-충주IC,0,101
0450CZE210,5010.00,E,0072,0683,2,0450,110.00,22,충주IC-중앙탑Hi,0,101
0450CZE215,4160.00,E,0683,0071,2,0450,110.00,23,중앙탑Hi-북충주IC,0,101
0450CZE220,5220.00,E,0071,0573,2,0450,110.00,24,북충주IC-충주JC,0,101
0450CZE225,12090.00,E,0573,0057,2,0450,100.00,25,충주JC-감곡IC,0,101
0450CZE230,14530.00,E,0057,0262,2,0450,110.00,26,감곡IC-여주JC,0,101
0450CZE240,2340.00,E,0262,0570,2,0450,110.00,27,여주JC-남여주IC,0,101
0450CZE245,5440.00,E,0570,0488,2,0450,110.00,28,남여주IC-서여주IC,0,101
0450CZE250,9200.00,E,0488,0489,2,0450,110.00,29,서여주IC-북여주IC,0,101
0450CZE260,18510.00,E,0489,0653,2,0450,110.00,30,북여주IC-남양평Hi,0,101
0450CZE270,4760.00,E,0653,0565,2,0450,100.00,31,남양평Hi-양평IC,0,101
0450CZS010,2700.00,S,0502,0144,2,0450,100.00,31,칠원TG-내서JC,0,101
0450CZS015,790.00,S,0148,0502,2,0450,100.00,30,칠원JC-칠원TG,0,101
0450CZS020,5180.00,S,0153,0148,2,0450,100.00,29,칠서IC-칠원JC,0,101
